일자,종목,거래대금,시가,고가,저가,종가,순서,시가대비저점,시가베팅,result,pnl
2025-04-10,한텍,4317,-1.52,4.56,-5.73,-1.52,시고저종,-0.04275534441805225,10,SL_ONLY,-0.05
2025-06-17,피아이이,4308,-0.95,1.81,-5.04,-2.09,시고저종,-0.04130643611911623,10,SL_ONLY,-0.05
2025-06-10,다날,4262,7.08,14.67,-3.2,2.02,시고저종,손절,-5,TP_FIRST,0.13
2025-07-08,싸이닉솔루션,4207,2.42,20.5,-4.55,3.19,시고저종,-0.0679886685552408,-5,TP_FIRST,0.13
2025-09-09,삼현,4148,2.07,6.83,0.36,3.98,-0.003484320557491289,-0.016725798276735936,10,NONE,0.0398
2025-12-16,티엠씨,4138,7.11,14.68,-15.83,-14.5,0,-0.032119914346895075,-5,TP_ONLY,0.13
2025-07-03,로킷헬스케어,4128,0.77,2.3,-9.0,-6.64,-0.03470031545741325,손절,-5,NONE,-0.0664
2025-05-16,원일티엔아이,4076,2.23,5.15,-14.48,-12.0,시고저종,손절,-5,SL_ONLY,-0.05
2025-04-11,펩트론,4070,2.0,5.46,-0.91,2.25,시고저종,손절,-5,NONE,0.0225
2025-07-28,두산테스나,4028,3.82,6.93,-6.08,-2.97,시고저종,-0.09536784741144415,-5,SL_ONLY,-0.05
2025-09-08,오리엔탈정공,3749,0.35,13.55,-1.66,8.17,시고저종,-0.003484320557491289,10,TP_FIRST,0.13
2025-12-18,미래에셋벤처투자,3642,4.71,29.99,4.71,28.3,-0.02608695652173913,0,10,TP_ONLY,0.13
2025-07-09,NHN KCP,3515,5.11,12.53,1.46,3.85,-0.027777777777777776,-0.03470031545741325,10,NONE,0.0385
2025-01-17,LS에코에너지,3495,-0.59,0.98,-8.27,-7.87,-0.04691358024691358,손절,-5,NONE,-0.0787
2025-02-18,오름테라퓨틱,3415,6.12,11.43,-7.07,-0.95,-0.003271537622682661,-0.12435897435897436,-5,NONE,-0.0095
2025-03-31,온코닉테라퓨틱스,3412,0.58,7.71,-5.01,-3.85,-0.03245749613601236,손절,-5,NONE,-0.0385
2025-09-12,나우로보틱스,3319,0.3,29.24,-0.1,29.24,시고저종,-0.05566218809980806,-5,TP_FIRST,0.13
2025-04-02,한텍,3251,7.28,-2.93,12.18,5.41,0,-0.043689320388349516,10,NONE,0.0541
2025-02-07,전진건설로봇,3193,5.31,11.54,2.56,4.76,시저고종,-0.02608695652173913,-5,NONE,0.047599999999999996
2025-02-12,올릭스,3120,-4.21,4.1,-6.87,0.67,시고저종,-0.027777777777777776,-5,SL_ONLY,-0.05
2025-04-03,유일로보틱스,3069,-2.34,8.52,-15.12,-12.2,-0.03153153153153153,-0.003271537622682661,10,NONE,-0.122
2025-11-27,삼현,3069,-2.64,-0.6,-7.21,-3.13,-0.04772727272727273,-0.04691358024691358,10,NONE,-0.0313
2025-01-20,제주반도체,3042,1.89,6.69,-0.39,1.5,-0.02782193958664547,-0.03245749613601236,10,NONE,0.015
2025-06-24,카카오게임즈,3013,2.13,7.66,-8.72,-7.87,0,손절,-5,NONE,-0.0787
2025-06-13,흥아해운,3005,8.18,8.41,-9.09,-2.73,시저고종,손절,-5,SL_FIRST,-0.05
2025-06-05,쿠콘,2945,11.19,15.94,-0.14,0.14,시고저종,손절,-5,TP_FIRST,0.13
2025-12-16,메지온,2900,3.09,22.06,-15.46,-9.38,시고저종,0,10,TP_FIRST,0.13
2025-04-09,넥스틸,2890,-0.34,5.72,-6.14,6.46,-0.02097902097902098,-0.05813148788927336,-5,NONE,0.0646
2025-09-11,농심,2870,7.99,28.89,3.48,5.94,시고저종,-0.0056925996204933585,10,TP_FIRST,0.13
2025-12-22,미래에셋벤처투자,2838,-5.41,-5.41,-29.95,-29.95,시고저종,손절,-5,SL_ONLY,-0.05
2025-03-25,네이처셀,2833,3.81,12.65,-9.88,-8.32,-0.002797202797202797,손절,-5,NONE,-0.0832
