stk_cd,t1_dt,t1_open,entry,tp,sl,result,entry_tm,tp_tm,sl_tm,rows,data_quality
003310,20250421,2800.0,2716.0,2906.1200000000003,2607.36,TP_ONLY,20250421090000,20250421090000,,381,OK
003310,20251216,2320.0,2250.4,2407.9280000000003,2160.384,NONE_AFTER_ENTRY,20251216135100,,,379,OK
003380,20251212,14300.0,13871.0,14841.970000000001,13316.16,SL_ONLY,20251212090300,,20251212092300,379,OK
003535,20250930,11740.0,11387.8,12184.946,10932.287999999999,SL_ONLY,20250930090200,,20250930090200,268,OK
003535,20251001,12010.0,11649.699999999999,12465.179,11183.711999999998,AMBIGUOUS_SAME_MIN,20251001090000,20251001090000,20251001090000,374,OK
003535,20251010,14800.0,14356.0,15360.92,13781.76,SL_ONLY,20251010120000,,20251010150000,15,LOW_ROWS
003580,20251105,2830.0,2745.1,2937.257,2635.296,SL_FIRST,20251105090200,20251105090700,20251105090300,376,OK
003680,20251120,6520.0,6324.4,6767.108,6071.423999999999,TP_ONLY,20251120093600,20251120095100,,379,OK
004060,20251124,410.0,397.7,425.539,381.792,SL_ONLY,20251124090000,,20251124090300,381,OK
004090,20250616,20550.0,19933.5,21328.845,19136.16,SL_ONLY,20250616091600,,20250616123400,380,OK
004100,20250408,4445.0,4311.65,4613.4655,4139.183999999999,TP_ONLY,20250408090200,20250408090900,,378,OK
004105,20250408,6980.0,6770.599999999999,7244.5419999999995,6499.775999999999,NO_ENTRY,,,,15,LOW_ROWS
004310,20251208,5790.0,5616.3,6009.441000000001,5391.648,NO_ENTRY,,,,330,OK
004310,20251209,7540.0,7313.8,7825.7660000000005,7021.248,SL_FIRST,20251209090200,20251209092400,20251209090300,376,OK
004415,20250930,1435.0,1391.95,1489.3865,1336.272,SL_ONLY,20250930093000,,20250930093000,15,LOW_ROWS
004440,20251229,5710.0,5538.7,5926.409000000001,5317.152,SL_FIRST,20251229090400,20251229105200,20251229100100,382,OK
004770,20250407,3055.0,2963.35,3170.7845,2844.816,NO_ENTRY,,,,380,OK
004920,20250421,1400.0,1358.0,1453.0600000000002,1303.68,NO_ENTRY,,,,379,OK
004960,20251204,11700.0,11349.0,12143.43,10895.039999999999,TP_ONLY,20251204090000,20251204091900,,381,OK
004980,20250422,15250.0,14792.5,15827.975,14200.8,SL_ONLY,20250422091000,,20250422092200,374,OK
004985,20250421,19110.0,18536.7,19834.269,17795.232,NO_ENTRY,,,,95,LOW_ROWS
004985,20250422,24800.0,24056.0,25739.920000000002,23093.76,SL_ONLY,20250422111400,,20250422111400,289,OK
005257,20250523,23550.0,22843.5,24442.545000000002,21929.76,SL_ONLY,20250523093000,,20250523103000,15,LOW_ROWS
005257,20250604,28350.0,27499.5,29424.465,26399.52,NO_ENTRY,,,,15,LOW_ROWS
005257,20250609,49400.0,47918.0,51272.26,46001.28,NO_ENTRY,,,,15,LOW_ROWS
005257,20250625,54300.0,52671.0,56357.97,50564.159999999996,SL_ONLY,20250625093000,,20250625093000,15,LOW_ROWS
005320,20250703,861.0,835.17,893.6319,801.7632,SL_ONLY,20250703090700,,20250703090700,376,OK
005360,20250827,2720.0,2638.4,2823.088,2532.864,NO_ENTRY,,,,380,OK
