code,name,lastPrice,marketCode,marketName,mrkt_tp
456600,TIME 글로벌AI인공지능액티브,00042600,8,ETF,0
456610,TIGER 미국달러SOFR금리액티브(합성),00060755,8,ETF,0
456680,TIGER 차이나전기차레버리지(합성),00009300,8,ETF,0
456880,ACE 미국달러SOFR금리(합성),00012305,8,ETF,0
457190,이수스페셜티케미컬,00106800,0,거래소,0
457480,ACE 테슬라밸류체인액티브,00021705,8,ETF,0
457690,KODEX 33-06 국고채액티브,00010785,8,ETF,0
457700,KODEX 53-09 국고채액티브,00010760,8,ETF,0
457930,BNK 미래전략기술액티브,00029780,8,ETF,0
457990,PLUS 태양광&ESS,00032970,8,ETF,0
458030,WON 국공채머니마켓액티브,00054260,8,ETF,0
458210,KIWOOM CD금리액티브(합성),00109025,8,ETF,0
458250,TIGER 미국30년국채스트립액티브(합성 H),00039295,8,ETF,0
458260,TIGER 미국투자등급회사채액티브(H),00048900,8,ETF,0
458730,TIGER 미국배당다우존스,00014245,8,ETF,0
458750,TIGER 미국배당다우존스타겟커버드콜1호,00012625,8,ETF,0
458760,TIGER 미국배당다우존스타겟커버드콜2호,00010900,8,ETF,0
459560,KODEX 테슬라밸류체인FactSet,00020375,8,ETF,0
459580,KODEX CD금리액티브(합성),01073230,8,ETF,0
459750,RISE 글로벌주식분산액티브,00017295,8,ETF,0
459790,KIWOOM 미국성장기업30액티브,00018575,8,ETF,0
460270,KIWOOM 미국달러SOFR금리액티브(합성),00012690,8,ETF,0
460280,KIWOOM Fn유전자혁신기술,00014450,8,ETF,0
460660,RISE 미국S&P배당킹,00012030,8,ETF,0
460850,동국씨엠,00005860,0,거래소,0
460860,동국제강,00009240,0,거래소,0
460960,ACE 글로벌인컴TOP10,00011535,8,ETF,0
461270,ACE 26-06 회사채(AA-이상)액티브,00011110,8,ETF,0
461340,HANARO 글로벌생성형AI액티브,00030910,8,ETF,0
461450,KODEX 코스닥글로벌,00019510,8,ETF,0
461460,PLUS 국고채10년액티브,00053755,8,ETF,0
461490,RISE 글로벌자산배분액티브,00014995,8,ETF,0
461500,HANARO 종합채권(AA-이상)액티브,00108730,8,ETF,0
461580,TIGER 코스닥글로벌,00019770,8,ETF,0
461600,SOL 미국30년국채액티브(H),00008965,8,ETF,0
461900,PLUS 미국테크TOP10,00020810,8,ETF,0
461910,PLUS 미국테크TOP10레버리지(합성),00033160,8,ETF,0
461950,KODEX 2차전지핵심소재10,00007460,8,ETF,0
462010,TIGER 2차전지소재Fn,00007770,8,ETF,0
462330,KODEX 2차전지산업레버리지,00002355,8,ETF,0
462340,에셋플러스 글로벌다이나믹시니어액티브,00016070,8,ETF,0
462520,조선내화,00014260,0,거래소,0
462870,시프트업,00033150,0,거래소,0
462900,KoAct 바이오헬스케어액티브,00024065,8,ETF,0
463050,TIME K바이오액티브,00020735,8,ETF,0
463250,TIGER K방산&우주,00042520,8,ETF,0
463290,1Q 단기금융채액티브,00107690,8,ETF,0
463300,RISE 중국본토CSI300,00013700,8,ETF,0
463640,KODEX 미국S&P500유틸리티,00015580,8,ETF,0
463680,KODEX 미국S&P500테크놀로지,00017570,8,ETF,0
463690,KODEX 미국S&P500커뮤니케이션,00018905,8,ETF,0
464240,KIWOOM 26-09회사채(AA-이상)액티브,00052600,8,ETF,0
464310,TIGER 글로벌AI&로보틱스 INDXX,00015845,8,ETF,0
464470,PLUS 미국채30년액티브,00053700,8,ETF,0
464600,SOL 자동차소부장Fn,00019300,8,ETF,0
464610,SOL 의료기기소부장Fn,00011300,8,ETF,0
464920,PLUS 일본반도체소부장,00023880,8,ETF,0
464930,TIGER 글로벌혁신블루칩TOP10,00018885,8,ETF,0
465330,RISE 2차전지TOP10,00014295,8,ETF,0
465350,RISE 2차전지TOP10인버스(합성),00016700,8,ETF,0
465580,ACE 미국빅테크TOP7 Plus,00021500,8,ETF,0
465610,ACE 미국빅테크TOP7 Plus레버리지(합성),00034985,8,ETF,0
465620,ACE 미국빅테크TOP7 Plus인버스(합성),00007570,8,ETF,0
465660,TIGER 일본반도체FACTSET,00022760,8,ETF,0
465670,TIGER 미국캐시카우100,00014310,8,ETF,0
465770,STX그린로지스,00006380,0,거래소,0
465780,마이티 26-09 특수채(AAA)액티브,00104995,8,ETF,0
466810,BNK 2차전지양극재,00007940,8,ETF,0
466920,SOL 조선TOP3플러스,00038150,8,ETF,0
466930,SOL 자동차TOP3플러스,00025910,8,ETF,0
466940,TIGER 은행고배당플러스TOP10,00028255,8,ETF,0
466950,TIGER 글로벌AI액티브,00025505,8,ETF,0
468370,KODEX iShares미국인플레이션국채액티브,00011380,8,ETF,0
468380,KODEX iShares미국하이일드액티브,00011485,8,ETF,0
468630,KODEX iShares미국투자등급회사채액티브,00011750,8,ETF,0
469050,RISE 미국반도체NYSE(H),00022435,8,ETF,0
469060,RISE 미국반도체NYSE,00025175,8,ETF,0
469070,RISE AI&로봇,00017925,8,ETF,0
469150,ACE AI반도체포커스,00048220,8,ETF,0
469160,ACE 일본반도체,00022040,8,ETF,0
469170,ACE 포스코그룹포커스,00007935,8,ETF,0
469530,RISE 미국달러선물인버스,00009135,8,ETF,0
469790,KIWOOM K-테크TOP10,00031830,8,ETF,0
469830,SOL 초단기채권액티브,00053480,8,ETF,0
470310,UNICORN 생성형AI강소기업액티브,00014875,8,ETF,0
471040,KoAct 글로벌AI&로봇액티브,00024940,8,ETF,0
471230,KODEX 국고채10년액티브,00108825,8,ETF,0
471460,KIWOOM 국고채30년액티브,00055710,8,ETF,0
471760,TIGER AI반도체핵심공정,00018895,8,ETF,0
471780,TIGER 코리아테크액티브,00026710,8,ETF,0
471990,KODEX AI반도체핵심장비,00024545,8,ETF,0
472150,TIGER 배당커버드콜액티브,00019140,8,ETF,0
472160,TIGER 미국테크TOP10 INDXX(H),00017250,8,ETF,0
472170,TIGER 미국테크TOP10채권혼합,00013510,8,ETF,0
