gap_bin,entry_k,tp,sl,entered_trades,tp_cnt,sl_cnt,winrate,EV,ambig_same_min,none_after_entry,no_entry,no_minute_skipped
<0,0.97,0.07,0.04,69,16,48,0.2318840579710145,-0.011676000348632528,1,4,9,14
<0,0.97,0.07,0.05,69,25,35,0.36231884057971014,-0.001938922982455058,0,9,9,14
<0,0.97,0.07,0.06,69,30,26,0.43478260869565216,0.0033818975348048432,0,13,9,14
<0,0.97,0.08,0.03,69,13,53,0.18840579710144928,-0.00753810905251622,0,3,9,14
<0,0.97,0.08,0.04,69,13,52,0.18840579710144928,-0.015154261218197745,0,4,9,14
<0,0.97,0.08,0.05,69,21,38,0.30434782608695654,-0.005202426190318151,0,10,9,14
<0,0.97,0.08,0.06,69,26,27,0.37681159420289856,0.0013918011889047966,0,16,9,14
<0,0.97,0.09,0.03,69,11,55,0.15942028985507245,-0.009132311951066946,0,3,9,14
<0,0.97,0.09,0.04,69,11,54,0.15942028985507245,-0.01703831918921224,0,4,9,14
<0,0.97,0.09,0.05,69,19,40,0.2753623188405797,-0.006216918943941341,0,10,9,14
<0,0.97,0.09,0.06,69,23,29,0.3333333333333333,-0.0012719305201545586,0,17,9,14
<0,0.97,0.1,0.03,69,10,56,0.14492753623188406,-0.009422167023530712,0,3,9,14
<0,0.97,0.1,0.04,69,10,55,0.14492753623188406,-0.017473101797907887,0,4,9,14
<0,0.97,0.1,0.05,69,18,41,0.2608695652173913,-0.0056372087990138025,0,10,9,14
<0,0.97,0.1,0.06,69,21,30,0.30434782608695654,-0.0025091994166108376,0,18,9,14
0~3,0.94,0.05,0.03,43,24,14,0.5581395348837209,0.01825412202515432,3,2,9,13
0~3,0.94,0.05,0.04,43,25,12,0.5813953488372093,0.017010568791573633,2,4,9,13
0~3,0.94,0.05,0.05,43,30,9,0.6976744186046512,0.023522196698550376,0,4,9,13
0~3,0.94,0.05,0.06,43,30,9,0.6976744186046512,0.021429173442736423,0,4,9,13
0~3,0.94,0.06,0.03,43,22,16,0.5116279069767442,0.01964947086236362,3,2,9,13
0~3,0.94,0.06,0.04,43,23,14,0.5348837209302325,0.01817335948924805,2,4,9,13
0~3,0.94,0.06,0.05,43,28,11,0.6511627906976745,0.02538266181482944,0,4,9,13
0~3,0.94,0.06,0.06,43,28,11,0.6511627906976745,0.022824522279945723,0,4,9,13
0~3,0.94,0.07,0.03,43,18,20,0.4186046511627907,0.015463424350735718,3,2,9,13
0~3,0.94,0.07,0.04,43,21,16,0.4883720930232558,0.018405917628782936,2,4,9,13
0~3,0.94,0.07,0.05,43,26,12,0.6046511627906976,0.02650870422320009,0,5,9,13
0~3,0.94,0.07,0.06,43,26,12,0.6046511627906976,0.02371800654878149,0,5,9,13
0~3,0.94,0.08,0.03,43,15,22,0.3488372093023256,0.01332051427847513,3,3,9,13
0~3,0.94,0.08,0.04,43,18,18,0.4186046511627907,0.016495565696057233,2,5,9,13
0~3,0.94,0.08,0.05,43,25,12,0.5813953488372093,0.03134253833698601,0,6,9,13
0~3,0.94,0.08,0.06,43,25,12,0.5813953488372093,0.028551840662567413,0,6,9,13
0~3,0.94,0.09,0.03,43,15,22,0.3488372093023256,0.016808886371498383,3,3,9,13
0~3,0.94,0.09,0.04,43,18,18,0.4186046511627907,0.020681612207685135,2,5,9,13
0~3,0.94,0.09,0.05,43,25,12,0.5813953488372093,0.03715649182535811,0,6,9,13
0~3,0.94,0.09,0.06,43,25,12,0.5813953488372093,0.0343657941509395,0,6,9,13
