stk_cd,t1_dt,tried
010660,20230511,010660|010660_NX|010660_AL
010660,20230926,010660|010660_NX|010660_AL
010660,20240319,010660|010660_NX|010660_AL
010660,20240925,010660|010660_NX|010660_AL
010770,20250124,010770|010770_NX|010770_AL
010770,20250221,010770|010770_NX|010770_AL
011080,20240925,011080|011080_NX|011080_AL
011080,20241205,011080|011080_NX|011080_AL
011080,20241210,011080|011080_NX|011080_AL
011080,20241211,011080|011080_NX|011080_AL
011080,20250103,011080|011080_NX|011080_AL
011090,20241212,011090|011090_NX|011090_AL
011155,20230104,011155|011155_NX|011155_AL
011155,20231122,011155|011155_NX|011155_AL
011155,20231208,011155|011155_NX|011155_AL
011155,20241211,011155|011155_NX|011155_AL
011155,20241216,011155|011155_NX|011155_AL
011155,20241218,011155|011155_NX|011155_AL
011230,20230426,011230|011230_NX|011230_AL
011230,20230428,011230|011230_NX|011230_AL
011230,20230508,011230|011230_NX|011230_AL
011230,20230519,011230|011230_NX|011230_AL
011230,20230712,011230|011230_NX|011230_AL
011230,20231226,011230|011230_NX|011230_AL
011280,20240111,011280|011280_NX|011280_AL
011300,20241126,011300|011300_NX|011300_AL
011390,20241128,011390|011390_NX|011390_AL
011420,20230125,011420|011420_NX|011420_AL
011420,20231130,011420|011420_NX|011420_AL
011420,20231205,011420|011420_NX|011420_AL
011420,20240904,011420|011420_NX|011420_AL
011500,20230306,011500|011500_NX|011500_AL
011500,20230424,011500|011500_NX|011500_AL
011500,20231201,011500|011500_NX|011500_AL
011690,20250220,011690|011690_NX|011690_AL
011810,20230426,011810|011810_NX|011810_AL
011810,20230817,011810|011810_NX|011810_AL
011810,20230822,011810|011810_NX|011810_AL
011810,20230829,011810|011810_NX|011810_AL
011810,20231114,011810|011810_NX|011810_AL
012030,20230410,012030|012030_NX|012030_AL
012030,20230605,012030|012030_NX|012030_AL
012170,20240223,012170|012170_NX|012170_AL
012170,20240226,012170|012170_NX|012170_AL
012170,20240307,012170|012170_NX|012170_AL
012200,20240503,012200|012200_NX|012200_AL
012320,20230309,012320|012320_NX|012320_AL
012320,20230407,012320|012320_NX|012320_AL
012320,20230821,012320|012320_NX|012320_AL
012320,20230822,012320|012320_NX|012320_AL
012320,20240322,012320|012320_NX|012320_AL
012800,20230804,012800|012800_NX|012800_AL
012800,20240521,012800|012800_NX|012800_AL
012860,20230419,012860|012860_NX|012860_AL
012860,20230821,012860|012860_NX|012860_AL
013360,20241113,013360|013360_NX|013360_AL
013360,20241205,013360|013360_NX|013360_AL
013360,20241210,013360|013360_NX|013360_AL
013360,20241211,013360|013360_NX|013360_AL
013520,20231109,013520|013520_NX|013520_AL
013570,20230831,013570|013570_NX|013570_AL
013700,20250110,013700|013700_NX|013700_AL
013720,20230619,013720|013720_NX|013720_AL
013810,20240118,013810|013810_NX|013810_AL
013810,20240807,013810|013810_NX|013810_AL
013990,20240104,013990|013990_NX|013990_AL
014100,20240322,014100|014100_NX|014100_AL
014100,20241212,014100|014100_NX|014100_AL
014160,20240321,014160|014160_NX|014160_AL
014160,20250124,014160|014160_NX|014160_AL
014190,20231215,014190|014190_NX|014190_AL
014580,20230324,014580|014580_NX|014580_AL
